49.78377,Camera Rig FS 1
71.27007,Camera Rig MS 1
78.0015,Camera Rig IS 1
82.52584,Camera Rig CU 1
100.4683,Camera Rig LS 1
110.5683,Camera Rig CU 1b
130.0999,Camera Rig FS 2
142.283,Camera Rig MS 2
152.7244,Camera Rig MLS 1
153.9405,Camera Rig POV 1
155.3175,Camera Rig CU 2
170.169,Camera Rig POV 1b
178.8657,Camera Rig POV 2
190.2241,Camera Rig FS 1b
218.3501,Camera Rig MS 3
238.317,Camera Rig MS 4
248.5238,Camera Rig FS 3
264.0141,Camera Rig MLS 2
277.9199,Camera Rig IS 1b
285.3798,Camera Rig MS 4b
309.9039,Camera Rig FS 2b
326.3223,Camera Rig MLS 2b
330.7266,Camera Rig IS 2
337.114,Camera Rig MS 5
339.1804,Camera Rig POV4
340.3331,Camera Rig CU 3
349.4887,Camera Rig FS 5
355.2381,Camera Rig MS 4c
361.2872,Camera Rig CU 4
367.563,Camera Rig POV 5
371.1632,Camera Rig CU 4b
379.5485,Camera Rig FS 2c
385.1186,Camera Rig MS 4d
402.9392,Camera Rig CU 3b
412.929,Camera Rig CU Move 1
423.5795,Camera Rig CU 5
432.1228,Camera Rig FS 6
434.3651,Camera Rig CU 5b
453.4107,Camera Rig FS 6b
459.9709,Camera Rig CU 5c
470.4867,Camera Rig POV 6
487.1425,Camera Rig FS 6c
489.3796,Camera Rig IS 3
491.6104,Camera Rig FS 1c
497.0319,Camera Rig ECU 1
499.4492,Camera Rig IS 3b
501.3434,Camera Rig ECU 1b
503.2952,Camera Rig ECU 2
506.8786,Camera Rig FS 7
515.838,Camera Rig MLS 3
517.9392,Camera Rig POV 7
523.1922,Camera Rig CU Move 2
525.8932,Camera Rig FS 8
533.3898,Camera Rig MLS 4
545.326,Camera Rig LS 2
552.4991,Camera Rig WS 2
