50.10648,Camera Rig FS 1
68.06353,Camera Rig MS 1
76.93797,Camera Rig IS 1
82.39028,Camera Rig CU 1
99.30623,Camera Rig LS 1
115.7093,Camera Rig CU 1b
128.9814,Camera Rig FS 2
142.1301,Camera Rig MS 2
152.5934,Camera Rig MLS 1
153.7599,Camera Rig POV 1
155.1242,Camera Rig CU 2
173.7947,Camera Rig POV 1b
178.7251,Camera Rig POV 2
190.0194,Camera Rig FS 1b
218.6628,Camera Rig MS 3
238.6528,Camera Rig MS 4
248.3039,Camera Rig FS 3
263.8523,Camera Rig MLS 2
276.6019,Camera Rig IS 1b
285.2215,Camera Rig MS 4b
308.3553,Camera Rig FS 2b
326.2352,Camera Rig MLS 2b
331.0106,Camera Rig IS 2
336.3086,Camera Rig MS 5
338.9184,Camera Rig POV4
340.1405,Camera Rig CU 3
349.7913,Camera Rig FS 5
354.5554,Camera Rig MS 4c
360.3532,Camera Rig CU 4
367.3834,Camera Rig POV 5
371.0148,Camera Rig CU 4b
378.8677,Camera Rig FS 2c
385.4974,Camera Rig MS 4d
402.7674,Camera Rig CU 3b
414.3176,Camera Rig CU Move 1
423.3024,Camera Rig CU 5
431.9213,Camera Rig FS 6
434.4972,Camera Rig CU 5b
453.2118,Camera Rig FS 6b
459.8087,Camera Rig CU 5c
470.4601,Camera Rig POV 6
485.7749,Camera Rig FS 6c
489.5723,Camera Rig IS 3
491.4718,Camera Rig FS 1c
495.2713,Camera Rig ECU 1
499.2232,Camera Rig IS 3b
501.2191,Camera Rig ECU 1b
503.0998,Camera Rig ECU 2
507.3419,Camera Rig FS 7
515.6459,Camera Rig MLS 3
517.7715,Camera Rig POV 7
522.9695,Camera Rig CU Move 2
525.6799,Camera Rig FS 8
532.4763,Camera Rig MLS 4
545.1387,Camera Rig LS 2
552.8892,Camera Rig WS 2
